年月日,東京最高気温(℃),東京最高気温(℃)品質情報,東京最高気温(℃)均質番号,東京最低気温(℃),東京最低気温(℃)品質情報,東京最低気温(℃)均質番号,東京平均気温(℃),東京平均気温(℃)品質情報,東京平均気温(℃)均質番号,東京降水量の合計(mm),東京降水量の合計(mm)現象なし情報,東京降水量の合計(mm)品質情報,東京降水量の合計(mm)均質番号,東京日照時間(時間),東京日照時間(時間)現象なし情報,東京日照時間(時間)品質情報,東京日照時間(時間)均質番号,東京平均風速(m/s),東京平均風速(m/s)品質情報,東京平均風速(m/s)均質番号,東京最大風速(m/s),東京最大風速(m/s)品質情報,東京最大風速(m/s),東京最大風速(m/s)品質情報,東京最大風速(m/s)均質番号,東京最大瞬間風速(m/s),東京最大瞬間風速(m/s)品質情報,東京最大瞬間風速(m/s),東京最大瞬間風速(m/s)品質情報,東京最大瞬間風速(m/s)均質番号,東京最多風向(16方位),東京最多風向(16方位)品質情報,東京最多風向(16方位)均質番号,東京平均蒸気圧(hPa),東京平均蒸気圧(hPa)品質情報,東京平均蒸気圧(hPa)均質番号,東京平均湿度(％),東京平均湿度(％)品質情報,東京平均湿度(％)均質番号,東京最小相対湿度(％),東京最小相対湿度(％)品質情報,東京最小相対湿度(％)均質番号,東京平均現地気圧(hPa),東京平均現地気圧(hPa)品質情報,東京平均現地気圧(hPa)均質番号,東京平均海面気圧(hPa),東京平均海面気圧(hPa)品質情報,東京平均海面気圧(hPa)均質番号,東京最低海面気圧(hPa),東京最低海面気圧(hPa)現象なし情報,東京最低海面気圧(hPa)品質情報,東京最低海面気圧(hPa)均質番号,東京平均雲量(10分比),東京平均雲量(10分比)品質情報,東京平均雲量(10分比)均質番号,東京天気概況(昼：06時〜18時),東京天気概況(昼：06時〜18時)品質情報,東京天気概況(昼：06時〜18時)均質番号,東京天気概況(夜：18時〜翌日06時),東京天気概況(夜：18時〜翌日06時)品質情報,東京天気概況(夜：18時〜翌日06時)均質番号,東京10分間降水量の最大(mm),東京10分間降水量の最大(mm)現象なし情報,東京10分間降水量の最大(mm)品質情報,東京10分間降水量の最大(mm)均質番号
2009/1/1,10.6,8,1,1.6,8,1,6.2,8,1,0,1,8,1,8.6,0,8,1,4.1,8,1,7.7,8,北西,8,1,13.3,8,西北西,8,1,北西,8,1,2.7,8,1,29,8,1,16,8,1,1002.2,8,1,1006.7,8,1,1004.2,0,8,1,1,8,1,快晴,8,1,晴,8,1,0,1,8,1
2009/1/2,11.6,8,1,3.1,8,1,6.9,8,1,0,1,8,1,8.9,0,8,1,4.6,8,1,8.8,8,北西,8,1,15,8,西北西,8,1,北西,8,1,3.3,8,1,34,8,1,20,8,1,1005.7,8,1,1010.2,8,1,1007.3,0,8,1,1,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2009/1/3,10.7,8,1,2,8,1,6.6,8,1,0,1,8,1,9.1,0,8,1,3.1,8,1,6.6,8,北西,8,1,11.1,8,北北西,8,1,北西,8,1,3.5,8,1,37,8,1,24,8,1,1013.2,8,1,1017.8,8,1,1014.5,0,8,1,0,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2009/1/4,11.1,8,1,4.3,8,1,7.5,8,1,0,1,8,1,9,0,8,1,3.6,8,1,7,8,北西,8,1,11.5,8,北西,8,1,北西,8,1,3.2,8,1,31,8,1,20,8,1,1015.1,8,1,1019.6,8,1,1017.8,0,8,1,2.3,8,1,快晴,8,1,曇後一時晴,8,1,0,1,8,1
2009/1/5,11.8,8,1,5.6,8,1,8.5,8,1,0,0,8,1,7.8,0,8,1,2.4,8,1,4.8,8,北西,8,1,10.2,8,北西,8,1,北北西,8,1,4.2,8,1,38,8,1,29,8,1,1013.5,8,1,1017.9,8,1,1015.6,0,8,1,4.8,8,1,晴後一時曇,8,1,曇時々晴,8,1,0,0,8,1
2009/1/6,12.5,8,1,5.6,8,1,8.6,8,1,0,0,8,1,8.6,0,8,1,3.3,8,1,6.8,8,北西,8,1,11.6,8,北北西,8,1,北北西,8,1,3.8,8,1,35,8,1,22,8,1,1015.7,8,1,1020.2,8,1,1017.5,0,8,1,6.5,8,1,晴後一時薄曇,8,1,晴時々曇,8,1,0,0,8,1
2009/1/7,9.1,8,1,5.1,8,1,7,8,1,0,1,8,1,4.6,0,8,1,2.2,8,1,4.4,8,北北西,8,1,7.8,8,北西,8,1,北北西,8,1,3.9,8,1,39,8,1,30,8,1,1020.2,8,1,1024.7,8,1,1023.3,0,8,1,9,8,1,薄曇時々晴,8,1,曇一時晴,8,1,0,1,8,1
2009/1/8,9.8,8,1,3.8,8,1,6.7,8,1,0,1,8,1,8.8,0,8,1,2.1,8,1,4.1,8,東,8,1,7.2,8,東,8,1,北東,8,1,4.4,8,1,45,8,1,30,8,1,1021.9,8,1,1026.5,8,1,1025,0,8,1,8.5,8,1,晴時々薄曇,8,1,曇後雨,8,1,0,1,8,1
2009/1/9,6.8,8,1,2.8,8,1,4.4,8,1,18,0,8,1,0,0,8,1,3.7,8,1,8.2,8,北西,8,1,12.8,8,北西,8,1,北北西,8,1,6.3,8,1,76,8,1,53,8,1,1011.1,8,1,1015.6,8,1,1003.5,0,8,1,10,8,1,雨、みぞれを伴う,8,1,晴時々曇一時雨,8,1,2,0,8,1
2009/1/10,10.8,8,1,2.8,8,1,5.6,8,1,0,1,8,1,7.6,0,8,1,4.8,8,1,9.7,8,北西,8,1,18.8,8,西北西,8,1,北北西,8,1,4.5,8,1,50,8,1,27,8,1,996.8,8,1,1001.2,8,1,998.1,0,8,1,4,8,1,晴一時曇,8,1,快晴,8,1,0,1,8,1
2009/1/11,7.9,8,1,2,8,1,5.1,8,1,0,1,8,1,8.6,0,8,1,2.9,8,1,8.1,8,北西,8,1,14.2,8,北北西,8,1,北北西,8,1,2.6,8,1,30,8,1,21,8,1,1007.7,8,1,1012.2,8,1,1006.9,0,8,1,0.5,8,1,快晴,8,1,晴時々曇,8,1,0,1,8,1
2009/1/12,8.4,8,1,0.6,8,1,4.5,8,1,0.5,0,8,1,5.3,0,8,1,2.2,8,1,6.7,8,北西,8,1,13.6,8,北西,8,1,北北西,8,1,3.9,8,1,46,8,1,35,8,1,1007.4,8,1,1011.9,8,1,1007.5,0,8,1,3.3,8,1,晴時々曇一時雨、あられを伴う,8,1,快晴,8,1,0.5,0,8,1
2009/1/13,10.3,8,1,0,8,1,5.1,8,1,0,1,8,1,9.2,0,8,1,2.4,8,1,5,8,北北西,8,1,10.3,8,北北西,8,1,北北西,8,1,3.1,8,1,37,8,1,15,8,1,1010.1,8,1,1014.6,8,1,1011.7,0,8,1,0.8,8,1,晴,8,1,快晴,8,1,0,1,8,1
2009/1/14,9.8,8,1,1.1,8,1,5.9,8,1,0,1,8,1,9.4,0,8,1,2.8,8,1,5.1,8,南,8,1,10.2,8,南南西,8,1,北西,8,1,3.6,8,1,40,8,1,24,8,1,1013.2,8,1,1017.8,8,1,1014,0,8,1,0,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2009/1/15,7.6,8,1,2.2,8,1,4.3,8,1,0,1,8,1,9.3,0,8,1,4.4,8,1,7.9,8,北西,8,1,13.4,8,北,8,1,北北西,8,1,2.3,8,1,27,8,1,17,8,1,1014.6,8,1,1019.2,8,1,1013.9,0,8,1,0,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2009/1/16,9,8,1,0.3,8,1,5,8,1,0,1,8,1,9.4,0,8,1,2.5,8,1,4.6,8,北北西,8,1,8.6,8,北西,8,1,南南東,8,1,3.3,8,1,36,8,1,24,8,1,1018.4,8,1,1022.9,8,1,1021,0,8,1,0.5,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2009/1/17,11.6,8,1,0.8,8,1,6.4,8,1,0,1,8,1,9.3,0,8,1,2.1,8,1,4.5,8,北西,8,1,8.3,8,西北西,8,1,北西,8,1,3.7,8,1,40,8,1,24,8,1,1019.7,8,1,1024.2,8,1,1020.9,0,8,1,0,8,1,快晴,8,1,曇時々晴,8,1,0,1,8,1
2009/1/18,8.3,8,1,3.2,8,1,6,8,1,0,0,8,1,1.1,0,8,1,2.2,8,1,3.9,8,北北西,8,1,6.8,8,北北西,8,1,北北西,8,1,4.8,8,1,51,8,1,39,8,1,1020.3,8,1,1024.9,8,1,1016.2,0,8,1,8.5,8,1,曇一時雨,8,1,曇時々雨,8,1,0,0,8,1
2009/1/19,15.3,8,1,4.5,8,1,9.1,8,1,3.5,0,8,1,7.6,0,8,1,2.9,8,1,6.2,8,北北西,8,1,11.3,8,北北西,8,1,北北西,8,1,6.1,8,1,55,8,1,25,8,1,1005.6,8,1,1010,8,1,1005.1,0,8,1,4,8,1,晴一時曇,8,1,晴後一時薄曇,8,1,1,0,8,1
2009/1/20,9.2,8,1,5.6,8,1,7.5,8,1,0,1,8,1,0,0,8,1,2.7,8,1,5.5,8,北北西,8,1,9.6,8,北西,8,1,北北西,8,1,4,8,1,39,8,1,31,8,1,1015.8,8,1,1020.3,8,1,1016.6,0,8,1,8.5,8,1,曇,8,1,曇,8,1,0,1,8,1
2009/1/21,9.1,8,1,5.1,8,1,6.6,8,1,3.5,0,8,1,0.5,0,8,1,2.4,8,1,4.2,8,北西,8,1,6.8,8,北西,8,1,北北西,8,1,5.2,8,1,54,8,1,41,8,1,1017.4,8,1,1022,8,1,1019.7,0,8,1,10,8,1,曇後一時雨,8,1,雨,8,1,0.5,0,8,1
2009/1/22,7.2,8,1,4.5,8,1,5.9,8,1,3.5,0,8,1,0,0,8,1,3,8,1,4.8,8,北北西,8,1,7.6,8,北北西,8,1,北北西,8,1,7.8,8,1,84,8,1,81,8,1,1014.8,8,1,1019.4,8,1,1015.2,0,8,1,10,8,1,霧雨時々雨,8,1,雨一時霧雨,8,1,0.5,0,8,1
